customerID,tenure,Contract,InternetService,MonthlyCharges,TotalCharges,OnlineSecurity,TechSupport,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Churn,service_count,tenure_cohort,contract_risk
0,36,2 year,Cable,52.702243018309,2026.7699864535623,Yes,No,Yes,Yes,Yes,Yes,No,5,24mo+,0.0
1,67,1 year,Fiber optic,71.08369453926308,1550.2930996155403,Yes,No,Yes,No,Yes,No,No,3,24mo+,1.5
2,37,1 year,Cable,43.099404687621394,5369.565077743569,Yes,No,Yes,Yes,No,No,No,3,24mo+,0.0
3,47,Month-to-month,DSL,96.39411389853888,759.1384878810169,Yes,No,No,Yes,Yes,No,No,3,24mo+,3.0
4,47,1 year,Fiber optic,37.167111170410074,1100.391990277751,No,Yes,Yes,Yes,Yes,Yes,No,5,24mo+,1.5
5,46,Month-to-month,DSL,105.56928798318052,2720.545561692318,Yes,Yes,No,No,Yes,No,No,3,24mo+,3.0
6,17,2 year,Fiber optic,37.66341593774805,1314.133212251185,Yes,No,Yes,No,No,Yes,No,3,12-24mo,1.5
7,12,Month-to-month,Fiber optic,94.91940410257725,917.4645904325192,Yes,No,Yes,No,Yes,No,No,3,6-12mo,4.5
8,40,Month-to-month,DSL,45.59403038406478,7704.149071628271,Yes,Yes,No,No,No,No,No,2,24mo+,3.0
9,26,2 year,Cable,104.37322425798688,7838.242170637416,Yes,Yes,No,No,Yes,No,No,3,24mo+,0.0
10,21,2 year,DSL,72.63339113628535,5228.33225552199,Yes,Yes,No,Yes,Yes,Yes,No,5,12-24mo,0.0
11,41,1 year,Fiber optic,108.29657942988771,1804.4504816818708,No,No,No,Yes,Yes,Yes,Yes,3,24mo+,1.5
12,4,2 year,Fiber optic,100.12783049701778,4887.759822601857,No,No,No,Yes,Yes,Yes,Yes,3,3-6mo,1.5
13,62,1 year,Cable,81.25642738232554,6495.01980547208,No,Yes,Yes,No,Yes,Yes,Yes,4,24mo+,0.0
14,38,1 year,Cable,53.95624156152767,1490.780982589149,Yes,No,No,No,Yes,Yes,No,3,24mo+,0.0
15,29,Month-to-month,Fiber optic,110.65989076697956,7556.048721289498,Yes,Yes,No,Yes,No,No,No,3,24mo+,4.5
16,48,Month-to-month,Fiber optic,94.05987820328886,6588.932016326067,Yes,Yes,No,No,Yes,Yes,Yes,4,24mo+,4.5
17,48,1 year,Cable,58.45900443162162,7593.77427409634,Yes,Yes,No,No,Yes,Yes,Yes,4,24mo+,0.0
18,34,1 year,Cable,105.45910733274856,2627.7518564461793,Yes,No,Yes,Yes,No,No,No,3,24mo+,0.0
19,4,2 year,Cable,106.8101346990661,7697.20012919895,No,No,No,No,No,No,Yes,0,3-6mo,0.0
20,37,2 year,Fiber optic,82.78928896260734,2670.165971376606,No,No,No,Yes,No,No,No,1,24mo+,1.5
21,31,2 year,Cable,115.72033498608364,402.3699518675792,No,Yes,No,No,Yes,Yes,Yes,3,24mo+,0.0
22,36,Month-to-month,Cable,111.00606980324685,2628.932289931677,Yes,No,Yes,No,No,No,No,2,24mo+,3.0
23,70,2 year,DSL,58.250286962464,6731.605953165452,No,Yes,Yes,Yes,Yes,Yes,No,5,24mo+,0.0
24,61,Month-to-month,Fiber optic,91.15332152397804,1409.1707175067354,Yes,Yes,Yes,Yes,No,No,No,4,24mo+,4.5
25,33,Month-to-month,Fiber optic,31.901242254141746,5707.749455553076,No,Yes,No,No,No,Yes,No,2,24mo+,4.5
26,46,1 year,DSL,47.146852954795285,5233.103317690879,No,Yes,No,No,Yes,No,No,2,24mo+,0.0
27,59,1 year,Cable,92.6597390001354,2724.7294229736126,Yes,No,Yes,No,No,Yes,Yes,3,24mo+,0.0
28,46,2 year,Cable,45.15692278931906,2853.5934737657485,Yes,No,Yes,No,No,No,No,2,24mo+,0.0
29,48,Month-to-month,Fiber optic,117.21375313165125,2699.805735312162,No,No,Yes,Yes,No,Yes,No,3,24mo+,4.5
30,36,2 year,DSL,85.21072853940953,1036.6314505890473,No,Yes,No,No,No,No,Yes,1,24mo+,0.0
31,71,Month-to-month,Cable,119.47142490959472,3303.602183987065,Yes,No,Yes,Yes,No,No,Yes,3,24mo+,3.0
32,45,1 year,DSL,88.14767338512347,347.26840893185096,No,No,No,Yes,No,No,No,1,24mo+,0.0
33,6,2 year,Fiber optic,30.5068244270513,6116.181537844578,No,No,No,No,No,Yes,No,1,3-6mo,1.5
34,56,1 year,Fiber optic,101.38896350892335,4668.180050692899,Yes,No,No,No,Yes,Yes,No,3,24mo+,1.5
35,44,1 year,DSL,99.55412114810233,1177.33354793729,Yes,No,No,Yes,Yes,No,Yes,3,24mo+,0.0
36,5,1 year,Fiber optic,51.62837031553726,4801.742893716322,No,No,Yes,Yes,No,Yes,Yes,3,3-6mo,1.5
37,47,1 year,Fiber optic,43.7704818400825,7478.988660515114,Yes,Yes,Yes,Yes,No,No,No,4,24mo+,1.5
38,38,2 year,Cable,34.37817068802172,7470.856677958375,No,No,Yes,No,Yes,No,No,2,24mo+,0.0
39,14,Month-to-month,Cable,80.46917625418101,2814.959207861924,No,Yes,Yes,Yes,No,No,Yes,3,12-24mo,3.0
